domain,researcher,unique_id,block_order,mean_rt,perc_acc,D_tt1,D_tt2,D_tt3,D_tt4,D_odd,D_even,gender,age
Lincoln-Hitler,Chad,chad lincolnhitler_144,1,1584,0.88,0.22,0.01,-0.24,0.22,0.15,-0.08,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_146,1,1622,0.89,0.71,0.12,0.97,1.26,0.73,0.82,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_150,1,1455,0.96,0.36,-0.23,-0.33,-0.46,0.07,-0.14,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_151,1,1651,0.85,-0.07,0.54,0.1,0.1,0.27,0.15,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_153,1,1841,0.9,0.33,0.28,-0.18,-0.01,-0.34,0.52,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_157,1,1633,0.91,0.53,0.5,-0.55,0.13,-0.06,0.32,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_158,1,1595,0.93,-0.23,0.34,-0.18,0.06,0.01,-0.1,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_160,1,1303,0.89,0.5,0.64,0.28,0.22,0.57,0.2,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_164,1,1356,0.96,0.03,-0.12,-0.61,0,0.06,-0.36,Male,20
Lincoln-Hitler,Chad,chad lincolnhitler_165,1,1494,0.9,0.19,0.18,-0.04,-0.15,-0.05,0.1,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_167,1,1727,0.92,0.35,-0.57,-0.86,0.18,-0.19,-0.13,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_171,1,1606,0.9,0.58,0.58,-0.58,0.32,-0.04,0.52,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_172,1,2080,0.86,0.25,0.29,0.25,0.35,0.38,0.24,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_174,1,1993,0.81,-0.6,-0.63,0.39,0.15,-0.26,-0.11,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_178,1,1279,0.94,1.05,0.24,-0.59,0.41,0.43,0.15,Female,20
Lincoln-Hitler,Chad,chad lincolnhitler_179,1,1805,0.97,0.47,-0.05,0.46,0.21,0.6,-0.1,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_181,1,1403,0.93,0.24,-0.28,-0.53,-0.53,-0.3,-0.34,Female,21
Lincoln-Hitler,Chad,chad lincolnhitler_185,1,1806,0.88,-0.21,0.14,0.17,0.21,-0.22,0.42,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_186,1,1938,0.94,-0.39,-0.18,-0.45,-0.79,-0.37,-0.57,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_188,1,1704,0.86,0.56,0.1,-0.61,-0.41,-0.14,0.04,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_202,1,1345,0.9,0.12,0.38,-0.39,0.08,0.17,-0.01,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_204,1,1382,0.95,0.57,-0.22,-0.4,-0.21,-0.02,0.06,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_208,1,2026,0.94,0.49,0.89,-0.29,0.07,0.28,0.13,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_209,1,1804,0.98,-0.53,0.46,0,0.16,0.24,-0.2,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_211,1,2083,0.85,0.1,0.8,-0.01,-0.43,-0.12,0.24,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_215,1,1771,0.87,0.49,0.11,-0.23,-0.68,0.03,-0.17,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_216,1,1693,0.85,0.84,0.56,-0.05,0.49,0.58,0.39,Female,23
Lincoln-Hitler,Chad,chad lincolnhitler_222,1,1501,0.88,0.62,0.05,-0.5,0.35,-0.18,0.33,Male,22
Lincoln-Hitler,Chad,chad lincolnhitler_223,1,1962,0.65,-0.09,-0.13,0.41,0.24,0.24,0,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_225,1,1719,0.78,0.47,-0.23,0.47,-0.17,0.4,-0.19,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_302,1,1800,0.96,0.57,-0.1,-0.78,0.29,-0.07,0,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_304,1,1894,0.88,-0.01,-0.17,-0.26,1.05,0.16,0.39,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_309,1,1217,0.92,0.54,0.62,-0.63,-0.42,0.18,-0.21,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_311,1,1862,0.8,0.47,-0.16,-0.34,0.74,0.1,0.21,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_315,1,1402,0.94,0,-0.09,0.25,0.55,0.48,-0.12,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_316,1,1511,0.97,0.5,0.55,0.13,-0.65,0.15,0.08,Female,20
Lincoln-Hitler,Chad,chad lincolnhitler_318,1,1594,0.95,0.47,0.46,-0.56,0.39,0.43,-0.2,Female,21
Lincoln-Hitler,Chad,chad lincolnhitler_322,1,1629,0.92,0.88,0.11,-0.14,0.04,-0.05,0.32,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_323,1,1665,0.9,0.58,0.01,-0.39,0.11,0.16,-0.03,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_325,1,1667,0.92,0.6,-0.35,-1.21,-0.03,-0.13,-0.34,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_329,1,1136,0.97,-0.11,-0.04,-0.51,0.53,0.05,-0.2,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_332,1,2218,0.92,-0.14,-0.04,-0.14,-0.11,-0.39,0.11,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_336,1,1533,0.9,-0.22,0.4,0.02,-0.36,-0.16,-0.01,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_337,1,2007,0.93,0.16,0.47,-0.6,-0.58,-0.03,-0.31,Male,20
Lincoln-Hitler,Chad,chad lincolnhitler_339,1,1744,0.94,0.68,0.49,-0.6,0.1,0.02,0.21,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_343,1,1212,0.98,0.06,-0.04,-0.56,-0.55,-0.35,-0.23,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_344,1,1451,0.93,0.26,0.15,0.18,0.91,0.33,0.38,Female,29
Lincoln-Hitler,Chad,chad lincolnhitler_346,1,1451,0.85,0.1,0.05,-0.48,-0.12,-0.3,0.14,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_350,1,1734,0.85,0.37,-0.04,-0.02,-0.87,-0.17,-0.15,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_351,1,2391,0.87,0.13,0.15,-0.18,-0.05,-0.24,0.2,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_353,1,1430,0.92,0.45,0.28,-0.27,-0.68,0.16,-0.2,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_357,1,1307,0.85,-0.63,0.21,-0.05,-0.37,-0.08,-0.36,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_358,1,1926,0.96,0.45,0.04,0.12,0.17,0.22,0.23,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_360,1,1714,0.87,-0.07,-0.72,-0.08,-0.25,-0.04,-0.41,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_364,1,1343,0.93,-0.4,0.18,-0.24,-0.02,-0.09,0.13,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_365,1,2081,0.91,0.6,0.28,0.7,-0.55,0.07,0.43,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_367,1,2135,0.93,0.46,0.16,0.12,0.83,0.35,0.3,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_371,1,1509,0.92,0.45,-0.08,0.13,1.12,0.35,0.69,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_372,1,1415,0.94,0.09,0.33,0.02,-0.49,0.2,-0.24,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_374,1,1967,0.91,-0.23,-0.09,-0.14,0.13,-0.27,0.28,Female,20
Lincoln-Hitler,Chad,chad lincolnhitler_401,1,1746,0.94,1.12,-0.27,0.32,-0.01,0.42,0.15,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_402,1,1849,0.89,0.6,-0.31,-0.73,0.13,-0.21,0.24,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_404,1,1756,0.88,0.3,0.16,-0.35,0.18,-0.16,0.34,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_408,1,1346,0.85,0.32,0.31,-0.04,0.28,-0.09,0.43,Male,27
Lincoln-Hitler,Chad,chad lincolnhitler_409,1,1528,0.91,0.11,0.06,-0.44,-0.03,0.02,-0.08,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_411,1,2119,0.74,0.63,0.17,0.31,0.06,0.29,0.21,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_501,1,1303,0.9,-0.03,0.12,-0.27,0.07,-0.13,0.04,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_502,1,2443,0.85,-0.13,-0.26,0.2,0.2,0,0.09,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_504,1,1557,0.9,0.23,-0.11,-0.72,-0.27,-0.03,-0.33,Female,20
Lincoln-Hitler,Chad,chad lincolnhitler_508,1,1361,0.97,0.27,0.68,-0.77,-0.32,0.14,0.06,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_509,1,2064,0.9,-0.33,0.43,-0.28,0.12,0.21,-0.28,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_511,1,1582,0.9,0.27,-0.3,-0.67,0.19,0.26,-0.47,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_515,1,1305,0.93,0.32,0.53,0.16,0.27,0.42,0.22,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_516,1,1778,0.88,0.6,0.12,0.05,0.57,0.22,0.4,Female,20
Lincoln-Hitler,Chad,chad lincolnhitler_518,1,1790,0.97,0.69,0.87,0.21,0.56,0.28,0.71,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_601,1,1441,0.87,-0.15,0.24,-0.09,0.46,0.08,0.28,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_602,1,1649,0.92,0.07,-0.16,-0.34,0.17,0.03,-0.03,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_604,1,1537,0.97,-0.02,0.18,-0.38,-0.18,-0.08,-0.25,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_608,1,1356,0.88,0.14,0.09,-0.3,-0.19,-0.13,0,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_609,1,2108,0.82,0.95,-0.12,0.17,0.31,0.23,0.35,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_611,1,1498,0.88,0.53,0.11,-0.15,0.8,0.64,0.1,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_701,1,1739,0.9,1.13,0.49,-0.49,0.21,0.26,0.31,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_702,1,1451,0.93,0.46,0.54,0.73,0.5,0.8,0.56,Female,25
Race,Chad,chad race_3,1,1422,0.93,-0.31,-0.15,-0.55,0.54,-0.2,-0.11,Female,19
Race,Chad,chad race_7,2,1305,0.96,0.86,0.43,-0.37,0.6,0.48,0.38,Female,18
Race,Chad,chad race_11,1,1359,0.9,-0.24,0.08,-0.22,0.13,-0.06,-0.08,Female,19
Race,Chad,chad race_24,2,1417,0.86,-0.33,0.51,-0.73,-0.3,-0.31,-0.29,Female,19
Race,Chad,chad race_39,2,1545,0.8,-0.27,0.09,0.12,-0.05,0.07,-0.01,Female,19
Race,Chad,chad race_47,2,1261,0.85,0.69,0.36,0.29,0.06,0.39,0.32,Female,18
Race,Chad,chad race_103,1,1604,0.78,0.2,0.27,-0.85,-0.04,-0.22,0.04,Female,18
Race,Chad,chad race_107,2,1704,0.94,-0.15,0.34,-0.48,0.06,-0.22,0.34,Female,19
Race,Chad,chad race_111,1,1764,0.78,0.13,0.14,-0.32,-0.05,-0.05,-0.09,Female,19
Race,Chad,chad race_115,2,1433,0.9,0.17,-0.06,-1,-0.37,-0.45,-0.18,Female,18
Race,Chad,chad race_123,2,1176,0.93,0.65,0.34,-0.32,0.1,0.45,-0.01,Female,19
Race,Chad,chad race_127,1,1283,0.89,1.4,0.77,-0.1,-0.48,0.4,0.34,Female,19
Race,Chad,chad race_205,2,1423,0.94,0.2,0.49,-0.75,-0.09,0.09,-0.21,Male,20
Race,Chad,chad race_208,1,1515,0.84,1.15,0.32,0.12,0.1,0.65,0.31,Male,19
Race,Chad,chad race_211,2,1757,0.91,0.23,0.22,0.15,-0.07,0.4,0.01,Male,18
Race,Chad,chad race_214,1,1198,0.97,0.66,0.15,0.39,0.06,0.67,0.11,Male,21
Race,Chad,chad race_217,2,1273,0.96,-0.41,-0.67,-0.54,-0.62,-0.79,-0.36,Male,20
Race,Chad,chad race_220,1,1274,0.93,0.55,0.27,0.34,-0.05,0.28,0.28,Male,18
Race,Chad,chad race_223,2,1076,0.94,0.42,0.25,-0.23,-0.68,0.08,-0.11,Male,18
Race,Chad,chad race_227,1,1529,0.94,1.07,-0.3,-0.11,0.11,0.17,0.19,Male,19
Race,Chad,chad race_229,2,1696,0.88,0.38,0.63,-0.03,0.35,0.42,0.37,Male,24
Race,Chad,chad race_232,1,1202,0.93,0.01,0.4,-0.52,-0.79,0.04,-0.4,Male,19
Race,Chad,chad race_233,1,1695,0.93,0.39,-0.46,-0.32,0.25,-0.35,0.1,Male,19
Race,Chad,chad race_235,2,1628,0.79,-0.05,-0.47,-0.67,-0.39,-0.49,-0.27,Male,21
Race,Chad,chad race_236,2,1346,0.96,0.47,-0.27,0.6,0.32,0.46,0.09,Male,20
Race,Chad,chad race_238,1,1094,0.93,-0.21,0.03,-0.26,-0.28,0.02,-0.37,Male,19
Race,Chad,chad race_241,2,1563,0.8,-0.24,0.42,-0.05,-0.12,-0.37,0.07,Male,20
Race,Chad,chad race_244,1,1165,0.93,0.12,-0.14,0.07,0.47,0.18,0.01,Male,19
Race,Chad,chad race_247,1,1356,0.82,0.45,0.43,0.11,-0.03,0.24,0.26,Male,18
Race,Chad,chad race_250,1,1480,0.97,0.13,0.05,0.29,-0.1,0.12,-0.02,Male,19
Race,Chad,chad race_256,1,1115,0.92,-0.59,-0.14,-0.41,-0.22,-0.25,-0.36,Male,19
Race,Chad,chad race_259,2,1609,0.91,-0.35,0.17,-0.56,0.1,0.07,-0.29,Other,21
Race,Chad,chad race_265,2,1577,0.83,0.05,-0.26,0.16,-0.53,-0.17,-0.07,Male,19
Race,Chad,chad race_268,2,1831,0.87,-0.55,0.14,-0.49,-0.37,-0.24,-0.47,Male,18
Race,Chad,chad race_271,1,1521,0.96,1.05,-0.63,0.1,0.02,0.13,0.25,Male,20
Race,Chad,chad race_305,2,1520,0.89,0.73,0.62,0.04,0.04,0.39,0.36,Male,20
Race,Chad,chad race_308,1,1216,0.94,0.2,0.27,-0.12,0.42,0.46,-0.01,Male,22
Race,Chad,chad race_311,2,1444,0.92,0.47,0.09,0.17,0.05,0.19,0.31,Male,19
Race,Chad,chad race_312,2,1429,0.92,0.27,0.05,-0.62,-0.62,-0.1,-0.33,Male,18
Race,Chad,chad race_314,1,1300,0.85,0.83,0.63,-0.23,-0.55,0.21,0.29,Male,19
Race,Chad,chad race_317,2,2030,0.95,0.14,0.37,-0.35,-0.19,-0.15,0.01,Male,19
