domain,researcher,unique_id,block_order,mean_rt,perc_acc,D_tt1,D_tt2,D_tt3,D_tt4,D_odd,D_even,gender,age
Death,Tarah,ian death tarah_14,1,1908,0.9,0.72,0.7,0.37,0.62,0.75,-0.12,Male,43
Death,Tarah,ian death tarah_15,2,1482,0.97,0.92,0.49,-0.57,0,0.19,-0.05,Female,18
Death,Tarah,ian death tarah_16,2,1420,0.97,0.93,0.25,-0.97,-0.44,0.12,-0.36,Male,19
Death,Tarah,ian death tarah_17,2,1590,0.97,0.76,0.73,-0.35,-0.06,0.21,0.12,Female,18
Death,Tarah,ian death tarah_18,1,1394,0.91,0.66,0.4,-0.52,-0.97,-0.16,0.16,Male,31
Death,Tarah,ian death tarah_19,1,1033,0.99,1.05,0.3,-0.79,0.36,0.6,-0.07,Female,43
Death,Tarah,ian death tarah_20,2,1553,0.98,0.09,0.52,-0.34,-0.19,0.65,-0.51,Male,27
Death,Tarah,ian death tarah_21,1,1428,0.98,0.7,0.31,-0.33,0.38,0.02,0.74,Female,42
Death,Tarah,ian death tarah_22,1,1027,0.98,0.35,-0.42,-0.27,0.56,0.17,0.32,Female,20
Death,Tarah,ian death tarah_23,1,1440,0.98,-0.24,-0.12,-0.06,-0.22,-0.09,-0.18,Female,19
Death,Tarah,ian death tarah_24,1,1749,0.94,0.38,-0.41,-0.03,0.07,-0.06,-0.18,Male,25
Death,Tarah,ian death tarah_26,1,1572,0.88,0.82,0.71,0.34,0.24,0.17,0.88,Female,21
Death,Tarah,ian death tarah_27,2,1540,0.93,0.33,-0.41,-0.14,-0.25,0.1,-0.24,Male,46
Death,Tarah,ian death tarah_28,2,2039,0.93,0.4,0.53,-0.28,0.02,0.56,-0.09,Male,31
Death,Tarah,ian death tarah_29,1,1160,0.86,0.8,0.31,-0.43,-1.19,-0.24,-0.09,Male,39
Death,Tarah,ian death tarah_30,1,1164,0.96,0.47,-0.11,-0.02,-0.62,-0.1,-0.39,Female,31
Death,Tarah,ian death tarah_31,2,1222,0.99,-0.2,-0.2,0.19,0.15,-0.02,0.14,Male,19
Death,Tarah,ian death tarah_32,2,1088,0.98,0.94,0.03,0.01,-0.05,0.5,-0.04,Female,21
Death,Tarah,ian death tarah_33,1,1471,0.97,1.03,-0.06,-0.87,-0.14,-0.2,-0.05,Male,51
Death,Tarah,ian death tarah_34,1,759,0.97,0.65,-0.32,-0.2,-0.34,-0.21,0.3,Female,20
Death,Tarah,ian death tarah_35,2,949,0.93,0.91,-0.6,-0.92,0.5,-0.27,0.11,Female,21
Death,Tarah,ian death tarah_36,2,1401,0.86,0.83,0.3,-0.55,-0.05,-0.24,0.54,Male,19
Death,Tarah,ian death tarah_37,1,1295,0.9,0.35,-0.22,-0.64,0.31,-0.32,0.03,Female,31
Death,Tarah,ian death tarah_38,1,1317,0.9,0.24,-0.03,-0.05,-0.26,-0.28,0.44,Female,21
Death,Tarah,ian death tarah_39,2,1054,0.97,0.29,0.58,0.32,0.18,-0.08,0.73,Female,20
Death,Tarah,ian death tarah_40,2,1790,0.97,-0.37,-0.09,-0.32,-0.09,0.06,-0.64,,
Death,Tarah,ian death tarah_40,2,1242,0.95,1.28,0.36,-0.35,0.11,0.44,0.36,,
Death,Tarah,ian death tarah_42,1,967,0.97,0.56,0.82,0.28,0.27,0.38,0.36,Female,19
Death,Tarah,ian death tarah_44,1,1110,0.94,-0.02,0.04,0.31,0.32,0.1,0.27,Female,21
